State,Recreational,Year legalized (Rec),Medical,Year legalized (Med)
California,Yes,2016,Yes,1996
Alaska,Yes,2014,Yes,1998
Nevada,Yes,2016,Yes,1998
Oregon,Yes,2014,Yes,1998
Washington,Yes,2012,Yes,1998
Maine,Yes,2016,Yes,1999
Colorado,Yes,2012,Yes,2000
Hawaii,No,,Yes,2000
Montana,Yes,2020,Yes,2004
Vermont,Yes,2020,Yes,2004
Rhode Island,Yes,2022,Yes,2006
New Mexico,Yes,2021,Yes,2007
Michigan,Yes,2018,Yes,2008
Arizona,Yes,2020,Yes,2010
New Jersey,Yes,2020,Yes,2010
Delaware,Yes,2023,Yes,2011
Connecticut,Yes,2021,Yes,2012
Massachusetts,Yes,2016,Yes,2012
Illinois,Yes,2019,Yes,2013
Maryland,Yes,2022,Yes,2013
New Hampshire,No,,Yes,2013
Minnesota,Yes,2023,Yes,2014
New York,Yes,2021,Yes,2014
Georgia,No,,Yes,2015
Louisiana,No,,Yes,2015
Arkansas,No,,Yes,2016
Florida,No,,Yes,2016
North Dakota,No,,Yes,2016
Ohio,No,,Yes,2016
Pennsylvania,No,,Yes,2016
Iowa,No,,Yes,2017
West Virginia,No,,Yes,2017
Missouri,Yes,2022,Yes,2018
Oklahoma,No,,Yes,2018
Utah,No,,Yes,2018
Mississippi,No,,Yes,2022
South Dakota,No,,Yes,2020
Virginia,Yes,2021,Yes,2020
Alabama,No,,Yes,2021
Idaho,No,,No,
Indiana,No,,No,
Kansas,No,,No,
Kentucky,No,,Yes,2023
Nebraska,No,,No,
North Carolina,No,,No,
South Carolina,No,,No,
Tennessee,No,,No,
Texas,No,,No,
Wisconsin,No,,No,
Wyoming,No,,No,
District of Columbia,Yes,2015,Yes,2011
